npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40201955,SD NEGERI 6 BOKAT,Jln.Trans Sulawesi,Kec. Bokat,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1256,121.4666
40202018,SMP NEGERI 3 BIAU,Jl. Trans Sulawesi,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SMP,NEGERI,1.1307,121.46
60723457,MIS AL KHAIRAT LAKEA,JL. TRANS SULAWESI,Kec. Lakea,Kab. Buol,Prov. Sulawesi Tengah,MI,SWASTA,1.164985,121.139077
40206688,TK MAWAR ILAMBE,DESA TUINAN,Kec. Lakea,Kab. Buol,Prov. Sulawesi Tengah,TK,SWASTA,1.174854,121.319876
40209836,MAS ABNAUL KHAIRAAT LAKEA,DESA LAKEA / NGUNE,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,MA,SWASTA,1.177881,121.350492
40210215,MTSS USWATUN HASANAH LEOK I,JL. H. M. SUHONG,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,MTs,SWASTA,1.158243,121.394403
40202124,SD NEGERI 2 BIAU ,Kel. Kulango,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1573,121.4146
40201960,SD NEGERI 5 BIAU,Jl. Sanzibar  No. 416,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1645,121.4123
40201968,SD NEGERI 7 BIAU,JLN. MT HARYONO NO. 28,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.172749,121.396561
69987461,SDIT AL WAHDAH BUOL,Jl. Kemiri Kel.Kali Kec. Biau,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SD,SWASTA,1.16455,121.418302
69751197,RA/BA/TA NURUL IHSAN,JL. PRAMUKA NO. 214,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,RA,SWASTA,1.158608,121.426581
40202041,SMA Negeri 2 BIAU,JL. M.A. Turungku 76,Kec. Biau,Kab. Buol,Prov. Sulawesi Tengah,SMA,NEGERI,1.1609,121.4258
